date,yyyp_sell_price,yyyp_sell_num
2026-03-08,2448.995,1770
2026-03-09,2437.9166666666665,1871
2026-03-10,2356.9928571428572,1969
2026-03-11,2200.4166666666665,2198
2026-03-12,2108.8,2304
2026-03-13,2062.4557142857143,2350
2026-03-14,2071.4,2152
2026-03-15,2069.1428571428573,2117
2026-03-16,2019.7599999999998,2179
2026-03-17,1991.4166666666667,2137
2026-03-18,1901.4285714285713,2293
2026-03-19,1780.3,2279
2026-03-20,1801.3316666666667,2196
2026-03-21,1799.3542857142857,2215
2026-03-22,1689.7300000000002,2247
2026-03-23,1668.5833333333333,2153
2026-03-24,1702.8316666666667,2129
2026-03-25,1607.0,2131
2026-03-26,1542.5833333333333,2113
2026-03-27,1561.9,2079
2026-03-28,1550.6583333333335,2090
2026-03-29,1505.2142857142858,2110
2026-03-30,1454.9,2173
2026-03-31,1553.5,1999
2026-04-01,1619.75,1913
2026-04-02,1617.5,1979
2026-04-03,1526.0,2106
2026-04-04,1491.5833333333333,2170
2026-04-05,1465.75,2271
2026-04-06,1458.04,2194
2026-04-07,1459.0571428571427,2172
2026-04-08,1392.2,2168
2026-04-09,1439.1228571428571,2055
2026-04-10,1483.9116666666666,2013
2026-04-11,1426.6,2014
2026-04-12,1374.6666666666667,2037
2026-04-13,1354.3542857142857,2051
2026-04-14,1361.2483333333332,2009
2026-04-15,1305.5833333333333,2081
2026-04-16,1229.625,2034
2026-04-17,1253.81125,1941
2026-04-18,1322.276,1867
2026-04-19,1348.5714285714287,1905
2026-04-20,1302.895,1957
2026-04-21,1215.4166666666667,1989
2026-04-22,1169.298,1950
2026-04-23,1163.0714285714287,1910
2026-04-24,1240.6,1848
2026-04-25,1279.415,1836
2026-04-26,1250.4842857142855,1870
2026-04-27,1210.8333333333333,1986
2026-04-28,1191.376,1972
2026-04-29,1204.922857142857,1914
2026-04-30,1200.5,1881
2026-05-01,1247.195,1822
2026-05-02,1264.1166666666666,1798
2026-05-03,1228.2,1820
2026-05-04,1191.1666666666667,1858
2026-05-05,1144.9857142857143,1881
2026-05-06,1119.7,1893
2026-05-07,1150.75,1871
2026-05-08,1114.0333333333333,1870
2026-05-09,1100.1499999999999,1836
2026-05-10,1033.0816666666667,1886
2026-05-11,997.0833333333334,1898
2026-05-12,1031.6857142857143,1860
2026-05-13,1016.0,1868
2026-05-14,960.4,1890
2026-05-15,1012.3333333333334,1923
2026-05-16,1038.9166666666667,1928
2026-05-17,1050.0,1899
2026-05-18,1017.1428571428571,1948
2026-05-19,1017.25,1950
2026-05-20,989.6,1951
2026-05-21,957.4828571428571,1934
2026-05-22,884.7,1844
2026-05-23,913.8116666666666,1776
2026-05-24,880.9,1793
2026-05-25,790.388,1843
2026-05-26,817.7333333333332,1810
2026-05-27,932.2857142857143,1702
2026-05-28,1118.4983333333332,1575
2026-05-29,1171.6883333333333,1538
2026-05-30,1236.25,1528
2026-05-31,1157.8333333333333,1565
2026-06-01,1160.196,1550
2026-06-02,1330.5833333333333,1434
2026-06-03,1538.76,1349
2026-06-04,1564.6271428571429,1423
2026-06-05,1780.3,1251
2026-06-06,1912.9166666666667,1340
2026-06-07,1884.7777777777778,1395
